sample_id,condition,composition,spirulina_percent,nacl_percent,group,sample,sample_type,region_number,grid_row,grid_col,measurement_type,band,range_cm-1,range_start_cm-1,range_end_cm-1,value,source_column
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,peak_depth,Band5,4956-5414,4956,5414,0.00271293,P_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,peak_depth,Band6,5414-6065,5414,6065,0.000633284,P_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,peak_depth,Band7,6065-7568,6065,7568,0.000996229,P_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_03,region,3.0,1.0,3.0,peak_depth,Band8,7568-8980,7568,8980,0.000163536,P_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,integral,Band1,4010-4192,4010,4192,0.0395859,I_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,integral,Band2,4192-4488,4192,4488,0.306452,I_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,integral,Band3,4488-4759,4488,4759,0.168045,I_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,integral,Band4,4759-4956,4759,4956,0.0746558,I_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,integral,Band5,4956-5414,4956,5414,0.800547,I_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,integral,Band6,5414-6065,5414,6065,0.341784,I_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,integral,Band7,6065-7568,6065,7568,1.10175,I_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,integral,Band8,7568-8980,7568,8980,0.114783,I_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,peak_depth,Band1,4010-4192,4010,4192,0.000680623,P_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,peak_depth,Band2,4192-4488,4192,4488,0.00203762,P_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,peak_depth,Band3,4488-4759,4488,4759,0.00137957,P_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,peak_depth,Band4,4759-4956,4759,4956,0.000890541,P_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,peak_depth,Band5,4956-5414,4956,5414,0.00423427,P_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,peak_depth,Band6,5414-6065,5414,6065,0.00111135,P_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,peak_depth,Band7,6065-7568,6065,7568,0.00153432,P_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_04,region,4.0,1.0,4.0,peak_depth,Band8,7568-8980,7568,8980,0.000313321,P_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,integral,Band1,4010-4192,4010,4192,0.0149478,I_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,integral,Band2,4192-4488,4192,4488,0.157501,I_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,integral,Band3,4488-4759,4488,4759,0.101357,I_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,integral,Band4,4759-4956,4759,4956,0.0517932,I_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,integral,Band5,4956-5414,4956,5414,0.493468,I_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,integral,Band6,5414-6065,5414,6065,0.169309,I_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,integral,Band7,6065-7568,6065,7568,0.523786,I_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,integral,Band8,7568-8980,7568,8980,0.0244906,I_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,peak_depth,Band1,4010-4192,4010,4192,0.000348318,P_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,peak_depth,Band2,4192-4488,4192,4488,0.00109606,P_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,peak_depth,Band3,4488-4759,4488,4759,0.000788462,P_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,peak_depth,Band4,4759-4956,4759,4956,0.000603838,P_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,peak_depth,Band5,4956-5414,4956,5414,0.00257781,P_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,peak_depth,Band6,5414-6065,5414,6065,0.000552069,P_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,peak_depth,Band7,6065-7568,6065,7568,0.000802068,P_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_05,region,5.0,1.0,5.0,peak_depth,Band8,7568-8980,7568,8980,8.87152e-05,P_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,integral,Band1,4010-4192,4010,4192,0.033743,I_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,integral,Band2,4192-4488,4192,4488,0.229353,I_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,integral,Band3,4488-4759,4488,4759,0.119686,I_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,integral,Band4,4759-4956,4759,4956,0.0554725,I_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,integral,Band5,4956-5414,4956,5414,0.614065,I_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,integral,Band6,5414-6065,5414,6065,0.264348,I_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,integral,Band7,6065-7568,6065,7568,0.88004,I_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,integral,Band8,7568-8980,7568,8980,0.0412525,I_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,peak_depth,Band1,4010-4192,4010,4192,0.000601425,P_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,peak_depth,Band2,4192-4488,4192,4488,0.00144047,P_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,peak_depth,Band3,4488-4759,4488,4759,0.00113041,P_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,peak_depth,Band4,4759-4956,4759,4956,0.000643631,P_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,peak_depth,Band5,4956-5414,4956,5414,0.00333524,P_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,peak_depth,Band6,5414-6065,5414,6065,0.00083996,P_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,peak_depth,Band7,6065-7568,6065,7568,0.00120624,P_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_06,region,6.0,2.0,1.0,peak_depth,Band8,7568-8980,7568,8980,0.000190387,P_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,integral,Band1,4010-4192,4010,4192,0.02369,I_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,integral,Band2,4192-4488,4192,4488,0.20983,I_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,integral,Band3,4488-4759,4488,4759,0.122582,I_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,integral,Band4,4759-4956,4759,4956,0.0592183,I_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,integral,Band5,4956-5414,4956,5414,0.550276,I_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,integral,Band6,5414-6065,5414,6065,0.227561,I_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,integral,Band7,6065-7568,6065,7568,0.762424,I_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,integral,Band8,7568-8980,7568,8980,0.123107,I_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,peak_depth,Band1,4010-4192,4010,4192,0.000459931,P_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,peak_depth,Band2,4192-4488,4192,4488,0.00137953,P_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,peak_depth,Band3,4488-4759,4488,4759,0.00101867,P_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,peak_depth,Band4,4759-4956,4759,4956,0.000696078,P_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,peak_depth,Band5,4956-5414,4956,5414,0.00295795,P_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,peak_depth,Band6,5414-6065,5414,6065,0.000815058,P_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,peak_depth,Band7,6065-7568,6065,7568,0.00111375,P_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_07,region,7.0,2.0,2.0,peak_depth,Band8,7568-8980,7568,8980,0.000190284,P_Band8_7568-8980
